date_generated,id,icpsr,bioname,congress,chamber,cqlabel,state,state_abbrev,district_code,party_code,dim1,dim2,geo_mean_probability,number_of_errors,number_of_votes,log_likelihood,bioImgURL
2016-10-26 15:00:34,MS10015505,15505,"KARNES, David Kemp",100,Senate,(NE),Nebraska,NE,0,200,0.345,-0.201,0.766,60,529,-141.32147,015505.jpg
2016-10-26 15:00:34,MS10015504,15504,"SANFORD, (James) Terry",100,Senate,(NC),North Carolina,NC,0,100,-0.296,0.135,0.811,52,589,-123.3415,015504.jpg
2016-10-26 15:00:34,MS10015503,15503,"GRAHAM, Daniel Robert (Bob)",100,Senate,(FL),Florida,FL,0,100,-0.23,-0.013,0.75,84,633,-182.51712,015503.jpg
2016-10-26 15:00:34,MS10015502,15502,"CONRAD, Kent",100,Senate,(ND),North Dakota,ND,0,100,-0.294,0.578,0.66,123,630,-262.08136,015502.jpg
2016-10-26 15:00:34,MS10015501,15501,"BOND, Christopher Samuel (Kit)",100,Senate,(MO),Missouri,MO,0,200,0.31,-0.169,0.694,101,598,-218.01191,015501.jpg
2016-10-26 15:00:34,MS10015054,15054,"REID, Harry",100,Senate,(NV),Nevada,NV,0,100,-0.275,0.264,0.745,82,617,-181.65244,015054.jpg
2016-10-26 15:00:34,MS10015039,15039,"McCAIN, John Sidney, III",100,Senate,(AZ),Arizona,AZ,0,200,0.381,-0.624,0.714,89,598,-201.08761,015039.jpg
2016-10-26 15:00:34,MS10014922,14922,"ROCKEFELLER, John Davison IV (Jay)",100,Senate,(WV),West Virginia,WV,0,100,-0.325,0.174,0.818,54,620,-124.43922,014922.jpg
2016-10-26 15:00:34,MS10014921,14921,"McCONNELL, Addison Mitchell (Mitch)",100,Senate,(KY),Kentucky,KY,0,200,0.405,0.027,0.726,100,627,-201.08144,014921.jpg
2016-10-26 15:00:34,MS10014920,14920,"KERRY, John Forbes",100,Senate,(MA),Massachusetts,MA,0,100,-0.35,-0.382,0.847,46,619,-102.54052,014920.jpg
2016-10-26 15:00:34,MS10014916,14916,"EVANS, Daniel Jackson",100,Senate,(WA),Washington,WA,0,200,0.24,-0.971,0.687,100,568,-213.01664,014916.jpg
2016-10-26 15:00:34,MS10014915,14915,"WILSON, Pete",100,Senate,(CA),California,CA,0,200,0.351,-0.427,0.677,109,583,-227.64306,014915.jpg
2016-10-26 15:00:34,MS10014914,14914,"LAUTENBERG, Frank Raleigh",100,Senate,(NJ),New Jersey,NJ,0,100,-0.38,-0.577,0.847,48,607,-100.96112,014914.jpg
2016-10-26 15:00:34,MS10014913,14913,"HECHT, Jacob Chic",100,Senate,(NV),Nevada,NV,0,200,0.491,-0.148,0.753,67,572,-162.6309,014913.jpg
2016-10-26 15:00:34,MS10014912,14912,"BINGAMAN, Jesse Francis, Jr. (Jeff)",100,Senate,(NM),New Mexico,NM,0,100,-0.265,0.042,0.71,98,611,-209.35531,014912.jpg
2016-10-26 15:00:34,MS10014910,14910,"SPECTER, Arlen",100,Senate,(PA),Pennsylvania,PA,0,200,0.068,-0.624,0.638,144,623,-279.9647,014910.jpg
2016-10-26 15:00:34,MS10014909,14909,"RUDMAN, Warren Bruce",100,Senate,(NH),New Hampshire,NH,0,200,0.3,-0.67,0.63,134,591,-272.99904,014909.jpg
2016-10-26 15:00:34,MS10014908,14908,"NICKLES, Donald Lee",100,Senate,(OK),Oklahoma,OK,0,200,0.52,0.11,0.784,61,618,-150.72491,014908.jpg
2016-10-26 15:00:34,MS10014907,14907,"MURKOWSKI, Frank Hughes",100,Senate,(AK),Alaska,AK,0,200,0.346,-0.274,0.718,85,578,-191.36368,014907.jpg
2016-10-26 15:00:34,MS10014902,14902,"DIXON, Alan John",100,Senate,(IL),Illinois,IL,0,100,-0.188,0.31,0.727,91,614,-195.94316,014902.jpg
2016-10-26 15:00:34,MS10014900,14900,"D'AMATO, Alfonse Marcello",100,Senate,(NY),New York,NY,0,200,0.182,-0.334,0.673,117,622,-246.23763,014900.jpg
2016-10-26 15:00:34,MS10014713,14713,"MITCHELL, George John",100,Senate,(ME),Maine,ME,0,100,-0.346,-0.03,0.824,52,632,-122.54171,014713.jpg
2016-10-26 15:00:34,MS10014712,14712,"WARNER, John William",100,Senate,(VA),Virginia,VA,0,200,0.262,-0.131,0.73,85,606,-190.93187,014712.jpg
2016-10-26 15:00:34,MS10014710,14710,"SIMPSON, Alan Kooi",100,Senate,(WY),Wyoming,WY,0,200,0.322,-0.34,0.734,79,601,-186.22061,014710.jpg
2016-10-26 15:00:34,MS10014709,14709,"LEVIN, Carl",100,Senate,(MI),Michigan,MI,0,100,-0.394,-0.117,0.811,69,625,-130.72042,014709.jpg
2016-10-26 15:00:34,MS10014708,14708,"KASSEBAUM, Nancy Landon",100,Senate,(KS),Kansas,KS,0,200,0.2,-0.564,0.658,102,578,-241.59991,014708.jpg
2016-10-26 15:00:34,MS10014706,14706,"HUMPHREY, Gordon John",100,Senate,(NH),New Hampshire,NH,0,200,0.59,0.033,0.674,103,606,-238.98023,014706.jpg
2016-10-26 15:00:34,MS10014705,14705,"HEFLIN, Howell Thomas",100,Senate,(AL),Alabama,AL,0,100,-0.095,0.99,0.736,97,628,-192.54275,014705.jpg
2016-10-26 15:00:34,MS10014704,14704,"EXON, J. James",100,Senate,(NE),Nebraska,NE,0,100,-0.214,0.863,0.743,82,621,-184.11649,014704.jpg
