date_generated,id,congress,chamber,rollnumber,date,keyvote,yea,nay,description,Issue1,Issue2,Peltzman1,Peltzman2,Clausen1,mid.dim1,mid.dim2,spread.dim1,spread.dim2,pre,classified,log_likelihood,geo_mean_probability
2017-01-23 00:25:07,RH0500001,50,House,1,1887-12-05,,310,0,"TO ELECT A SPEAKER FROM THE FOLLOWING CANDIDATES, JOHN G. CARLISLE (DEM), THOMAS B. REED (REP), AND CHARLES N. BRUMM (RG).  JOHN G. CARLISLE HAVING RECEIVED 163 VOTES WAS DULY ELECTED SPEAKER OF THE HOUSE.  VOTES FOR CARLISLE ARE CODED 1, FOR REED, 2, FO BRUMM, 5.",Election of the Speaker of the House,,Internal Organization,,Miscellaneous Policy,0.0,0.0,0.0,0.0,,,0.0,
2017-01-23 00:25:07,RH0500002,50,House,2,1887-12-19,,163,83,"TO ORDER THE PREVIOUS QUESTION ON THE HOUSE RESOLUTION REGARDING THE FRENCH SPOLIATION CLAIMS, A RESOLUTION WHICH PROVIDES THAT THE REPORTS OF COURTS OF CLAIMS UNDER AN ACT OF CONGRESS ENTITLED ""AN ACT TO PROVIDE FOR THE ASCERTAIN- MENT OF CLAIMS OF AMERCAN CITIZENS FOR SPOILATION COMMITTEE BY THE FRENCH PRIOR TO JULY 31, 1801,"" APPROVED 1/20/85, BE REFERRED TO THE COMMITTEE ON APPROPRIATIONS, WITH INSTRUCTIONS TO REPORT TO THE HOUSE ALL SUCH CLAIMS AS HAVE BEEN DECIDED FAVORABLY TO THE CLAIMANTS, AND SO...",,,Budget Special Interest,,Government Management,0.043,0.849,-0.1,0.206,0.253,0.748,-117.182993,0.621
2017-01-23 00:25:07,RH0500003,50,House,3,1887-12-22,,95,93,"TO REFER TO THE COMMITTEE OF ACCOUNTS H. R. RES. 2, A RESOLUTION WHICH RELATES TO THE PAY OF DISCHARGED HOUSE EMPLOYEES AND PROVIDES THAT THOSE WHO WERE EMPLOYED ON DECEMBER 5, 1887, AND WHO HAVE CEASED, OR SHALL, PRIOR TO JANUARY 1, 1888, CEASE TO BE SOEMPLOYED, SHALL BE PAID BY THE CLERK OUT OF THE CONTINGENT FUND OF THE HOUSE, A SUM EQUAL TO ONE MONTHS PAY AT THE RATE THEY WERE SEVERALLY RECEIVING ON DECEMBER 5, 1887",,,Internal Organization,Budget Special Interest,Government Management,-0.404,-0.895,0.039,-0.077,0.161,0.585,-125.76411,0.512
2017-01-23 00:25:07,RH0500004,50,House,4,1888-01-09,,83,190,"TO ORDER PREVIOUS QUESTION ON THE REPORT OF THE COMMITTEE ON ACCOUNTS LIMITING THE NUMBER OF CLERKS TO THE VARIOUS COMMITTEES OF THE HOUSE FOR THE YEAR ENDING JUNE 30, 1888. (P. 306-1)",,,Internal Organization,Budget Special Interest,Government Management,-0.184,0.983,0.095,-0.09,0.012,0.7,-142.014446,0.594
2017-01-23 00:25:07,RH0500005,50,House,5,1888-01-09,,109,164,TO AMEND A MOTION ON THE REPORT FROM THE COMMITTEE ON ACCOUNTS RELATING TO THE ASSIGNMENT OF COMMITTEE CLERKS BY MAKING IT UNLAWFUL FOR ANY CLERK OF A COMMITTEE OF THE HOUSE OF REPRESENTATIVES TO PERFORM ANY DUTY FOR THE CHAIRMAN OF THE COMMITTEE OR ANY EMBER THEREOF THAT DOES NOT PERTAIN TO THE BUSINESS BEFORE THE COMMITTEE.,,,Internal Organization,Budget Special Interest,Government Management,0.185,0.414,-0.145,0.018,0.615,0.846,-98.354687,0.697
2017-01-23 00:25:07,RH0500006,50,House,6,1888-01-13,,89,154,THAT WHEN THE HOUSE ADJOURNS TODAY IT DOES SO UNTIL MONDAY. (P. 466-2),,,Internal Organization,,Miscellaneous Policy,-0.328,-0.03,0.086,0.058,0.18,0.7,-132.151532,0.581
2017-01-23 00:25:07,RH0500007,50,House,7,1888-01-13,,115,104,THAT WHEN THE HOUSE ADJOURNS TODAY IT DOES SO UNTIL MONDAY NEXT. (P. 467-2),,,Internal Organization,,Miscellaneous Policy,0.014,-0.038,0.199,0.181,0.913,0.959,-29.787398,0.873
2017-01-23 00:25:07,RH0500008,50,House,8,1888-01-16,,136,140,TO RECOMMIT A RESOLUTION DIRECTING THE COMMITTEE ON PRINTING TO INQUIRE INTO THE CAUSES OF DELAY IN THE DELIVERY OF THE CONGRESSIONAL RECORD.,,,Government Organization,,Government Management,-0.102,0.89,-0.264,-0.086,0.934,0.967,-38.156356,0.871
2017-01-23 00:25:07,RH0500009,50,House,9,1888-01-16,,64,182,"TO AMEND THE HOUSE RESOLUTION RELATING TO THE DELAY IN FURNISHING THE CONGRESSIONAL RECORD, BY AN AMENDMENT WHICH SUBSTITUTES A PROVISION ALLOWING THE SAME NUMBER OF CLERKS AS THERE ARE MEMBERS UPON THE COMMITTEE.",,,Internal Organization,Budget Special Interest,Government Management,0.17,-0.985,-0.109,0.138,0.031,0.748,-108.087346,0.644
2017-01-23 00:25:07,RH0500010,50,House,10,1888-01-16,,124,89,"TO ADOPT THE SUBSTITUTE RESOLUTION FROM THE COMMITTEE ON ACCOUNTS, WHICH AUTHORIZES THE COMMITTEES ON THE ELEVENTH CENSUS, LEVEES AND IMPROVEMENTS ON THE MISSISSIPPI RIVER, EXPENDITURES IN THE STATE DEPARTMENT, DEPARTMENT OF JUSTICE, VENTILATION AND ACOUTICS, EACH TO EMPLOY A CLERK, AT RATE OF $2,000 PER YEAR, FOR THE REST OF THIS CONGRESS AND AUTHORIZES EMPLOYMENT OF AN ASSISTANT CLERK FOR THE COMMITTEE ON CLAIMS; ALL TO BE PAID OUT OF THE HOUSE CONTINGENT FUND; THUS ADDING THESE CLERKS TO THE 37 CLERKS...",,,Internal Organization,Budget Special Interest,Government Management,0.087,-0.67,0.287,0.166,0.944,0.977,-16.815718,0.924
