date_generated,id,congress,chamber,rollnumber,date,keyvote,yea,nay,description,Issue1,Issue2,Peltzman1,Peltzman2,Clausen1,slope,intercept,mid.dim1,mid.dim2,spread.dim1,spread.dim2,pre,classified,log_likelihood,vote_result
2016-10-18 10:30:10,RH0740001,74,House,1,1935-01-03,,412,11,"ELECTION OF SPEAKER OF HOUSE OF REPRESENTATIVES J.W. BYRNS (DEM.), B.H. SNELL (REP.), G.J. SCHNEIDER (PROG.), AND W.P. LAMBERTSON (REP.).  THEY ARE CODED BYRNS (1), SNELL (2), SCHNEIDER (5), AND LAMBERTSON (6).",Election of the Speaker of the House,,Internal Organization,,Miscellaneous Policy,-11.090361704427378,8.386530299463745,0.692,0.712,0.186,0.097,0.0,0.974,-57.22474,
2016-10-18 10:30:10,RH0740002,74,House,2,1935-01-03,,245,170,"TO ORDER THE PREVIOUS QUESTION ON H. RES. 17, A RESOLUTION ADOPTING AS RULES OF THE 74TH CONGRESS THOSE OF THE PREVIOUS CONGRESS WITH AN AMENDMENT INCREASING THE REQUIREMENTS OF THE DISCHARGE RULE FROM 145 SIGNATURES TO 218 SIGNATURES.",,,Internal Organization,,Miscellaneous Policy,2.1296508107505687,0.27152889726777873,-0.49,-0.772,0.19,-0.516,0.565,0.822,-174.6466,
2016-10-18 10:30:10,RH0740003,74,House,3,1935-01-03,,245,166,"TO PASS H. RES. 17, ADOPTING AS RULES OF THE 74TH CONGRESS THOSE OF THE PREVIOUS CONGRESS WITH AN AMENDMENT INCREASING THE REQUIREMENTS OF DISCHARGE RULE OF THE PREVIOUS CONGRESS FROM 145 SIGNATURES TO 218 SIGNATURES.",,,Internal Organization,,Miscellaneous Policy,1.980282853429047,0.22537245799825645,-0.539,-0.842,0.189,-0.552,0.554,0.82,-175.438839,
2016-10-18 10:30:10,RH0740004,74,House,4,1935-01-22,,285,113,TO ADJOURN AND THEREBY PREPARE THE WAY FOR REPORTING TO THE HOUSE THE ANNUAL APPROPRIATION BILL FOR THE POST OFFICE AND TREASURY DEPARTMENTS (P. 781-2).,,,Budget Special Interest,,Government Management,3.094006847370399,0.017658047931592792,-0.007,-0.004,0.704,-1.316,0.92,0.977,-21.301401,
2016-10-18 10:30:10,RH0740005,74,House,5,1935-01-23,,264,148,"TO ORDER THE PREVIOUS QUESTION ON H. RES. 65, A CLOSED RULE FOR DEBATE ON H.J. RES. 117, (P. RES. 11) WORK RELIEF APPROPRIATIONS.",Unemployment/Jobs,,Budget General Interest,,Government Management,2.8951925445266253,0.3164625215519229,-0.091,0.053,0.864,-1.726,0.77,0.917,-94.323324,
2016-10-18 10:30:10,RH0740006,74,House,6,1935-01-23,,257,154,"TO PASS H. RES. 65, A CLOSED RULE FOR DEBATE ON H.J. RES. 117, (P. RES. 11) WORK RELIEF APPROPRIATIONS.",Unemployment/Jobs,,Budget General Interest,,Government Management,3.3403721653306557,0.4320583330290575,-0.103,0.088,0.283,-0.49,0.701,0.888,-112.826553,
2016-10-18 10:30:10,RH0740007,74,House,7,1935-01-24,,271,106,"TO TABLE H. RES. 56, A RESOLUTION REQUESTING THE NAMES AND ADDRESSES OF ALL PERSONS AND CORPORATIONS WHO OWN TAX-EXEMPT SECURITIES IM THE AMOUNT OF $100,000 OR OVER.",,,Government Organization,,Government Management,-3.7051720848880785,2.203463680946835,0.341,0.94,0.041,0.064,0.0,0.719,-228.866521,
2016-10-18 10:30:10,RH0740008,74,House,8,1935-01-24,,134,285,"TO AMEND H.J. RES. 117, BY REQUIRING EVERY RULE AND REGULATION PROMULGATED BY THE PRESIDENT IN THIS RELIEF PROGRAM TO BE POSTED AND PUBLISHED FOR 30 DAYS AND SENT TO THE OFFICE OF THE CLERK OF EVERY U. S. DISTRICT COURT, BEFORE IT BECOMES OPERATIVE.  (P.940, COL",Unemployment/Jobs,,Budget General Interest,,Government Management,3.7852023129871846,0.2792529480311798,-0.064,0.037,-0.286,0.437,0.806,0.938,-87.178316,
2016-10-18 10:30:10,RH0740009,74,House,9,1935-01-24,,107,311,"TO RECOMMIT H.J. RES. 117 TO APPROPRIATIONS COMM. WITH INSTRUCTIONS TO NEGATE ESSENTIAL PROVISIONS OF THE BILL (941, COL. 1).",Unemployment/Jobs,,Budget General Interest,,Government Management,5.881252419014519,-0.19526880563733393,0.023,-0.06,-1.085,1.067,0.888,0.971,-41.374483,
2016-10-18 10:30:10,RH0740010,74,House,10,1935-01-24,,333,81,TO PASS H.J. RES. 117.,Unemployment/Jobs,,Budget General Interest,,Government Management,45.883887152044885,-8.886938558888529,0.19,-0.169,0.238,-0.03,0.58,0.918,-74.542995,
2016-10-18 10:30:10,RH0740011,74,House,11,1935-01-31,,310,72,"TO AGREEE TO THE CONFERENCE REPORT ON S. 1175 (P.A. 1), A BILL TO EXTEND THE FUNCTIONS OF THE RECONSTRUCTION FINANCE CORPORATION FOR 2 YEARS, AND FOR OTHER PURPOSES.",,,Budget Special Interest,,Government Management,-4.639657995335594,2.675151064241519,0.377,0.926,0.073,0.091,0.028,0.817,-184.460101,
