date_generated,id,congress,chamber,rollnumber,date,keyvote,yea,nay,description,Issue1,Issue2,Peltzman1,Peltzman2,Clausen1,slope,intercept,mid.dim1,mid.dim2,spread.dim1,spread.dim2,pre,classified,log_likelihood,vote_result
2016-10-18 10:30:10,RH1090001,109,House,1,2005-01-04,,226,199,DENNIS HASTERT ELECTED SPEAKER OF THE HOUSE,Election of the Speaker of the House,,Internal Organization,,Miscellaneous Policy,6.157974004362822,-0.06842327212215903,0.028,0.104,-0.691,0.649,1.0,1.0,-0.264748,Hastert
2016-10-18 10:30:10,RH1090002,109,House,2,2005-01-04,,224,192,Rules of the House of Representatives,,,Internal Organization,,Miscellaneous Policy,5.1748744908321305,0.17290652647672922,0.052,0.442,-0.391,0.437,0.995,0.998,-8.011121,Passed
2016-10-18 10:30:10,RH1090003,109,House,3,2005-01-04,,222,196,Rules of the House of Representatives,,,Internal Organization,,Miscellaneous Policy,5.9151306011516995,-0.0786420896184272,0.016,0.016,-0.675,0.66,1.0,1.0,-0.286012,Passed
2016-10-18 10:30:10,RH1090004,109,House,4,2005-01-04,,196,219,Rules of the House of Representatives,,,Internal Organization,,Miscellaneous Policy,26.955469228359448,-0.5275062767881291,0.056,0.982,0.769,-0.165,0.995,0.998,-3.262851,Failed
2016-10-18 10:30:10,RH1090005,109,House,5,2005-01-04,,220,195,Rules of the House of Representatives,,,Internal Organization,,Miscellaneous Policy,5.906181840786871,-0.07849890945258994,0.016,0.016,-0.675,0.661,1.0,1.0,-0.28572,Passed
2016-10-18 10:30:10,RH1090006,109,House,6,2005-01-06,,31,267,OBJECT TO ELECTORAL VOTE IN OHIO,Electoral Votes,,Government Organization,,Government Management,26.485037342067308,13.327973783059857,-0.503,0.006,0.751,-0.164,0.387,0.936,-35.380769,Failed
2016-10-18 10:30:10,RH1090007,109,House,7,2005-01-25,,392,1,Congratulating the people of Ukraine and Viktor Yushchenko on his election as President of Ukraine and his commitment to democracy and reform,,,Foreign Policy Resolutions,,Foreign and Defense Policy,,,0.0,0.0,0.0,0.0,-181.998,0.534,0.0,Passed
2016-10-18 10:30:10,RH1090008,109,House,8,2005-01-25,,393,0,"Commending Countries and Organizations for Marking the 60th Anniversary of the Liberation of Auschwitz and Urging a Strengthening of the Fight against Racism, Intolerance, Bigotry, Prejudice, Discrimination, and Anti-Semitism",,,Foreign Policy Resolutions,,Foreign and Defense Policy,,,0.0,0.0,0.0,0.0,-18200000.0,0.537,0.0,Passed
2016-10-18 10:30:10,RH1090009,109,House,9,2005-01-26,,189,212,LIMIT NUMBER OF CONGRESSIONAL GOLD MEDALS,,,Government Organization,,Government Management,4.753947363457759,0.31079868352062856,-0.139,-0.35,0.277,-0.337,0.979,0.99,-24.439769,Failed
2016-10-18 10:30:10,RH1090010,109,House,10,2005-01-26,,182,211,LIMIT NUMBER OF CONGRESSIONAL GOLD MEDALS,,,Government Organization,,Government Management,14.789149798315748,0.543186234873681,-0.075,-0.566,0.381,-0.149,0.989,0.995,-11.421232,Failed
2016-10-18 10:30:10,RH1090011,109,House,11,2005-01-26,,187,217,"To amend title 31, United States Code, to provide reasonable standards for congressional gold medals, and for other purposes",,,Government Organization,,Government Management,5.418230741128212,0.2925630003653332,0.013,0.363,0.341,-0.364,0.989,0.995,-13.035801,Failed
2016-10-18 10:30:10,RH1090012,109,House,12,2005-01-26,,231,173,"To amend title 31, United States Code, to provide reasonable standards for congressional gold medals, and for other purposes",,,Government Organization,,Government Management,44.88138205460524,5.136003082443418,-0.118,-0.16,-0.194,0.025,0.873,0.946,-73.362766,Passed
2016-10-18 10:30:10,RH1090013,109,House,13,2005-02-01,,408,0,Honoring the contributions of Catholic schools,Education,Religion,Government Organization,,Government Management,,,0.0,0.0,0.0,0.0,-19000000.0,0.534,0.0,Passed
2016-10-18 10:30:10,RH1090014,109,House,14,2005-02-01,,410,0,"To designate the facility of the United States Postal Service located at 30777 Rancho California Road at Temecula, California, as the “Dalip Singh Saund Post Office Building”",,,Government Organization,,Government Management,,,0.0,0.0,0.0,0.0,-18900000.0,0.539,0.0,Passed
2016-10-18 10:30:10,RH1090015,109,House,15,2005-02-02,,327,84,Expressing the continued support of Congress for equal access of military recruiters to institutions of higher education,Education,Peace Movements/Pacifism/Anti-Military,Defense Policy Resolutions,,Foreign and Defense Policy,-8.476848739360399,-3.5066793696963123,-0.381,-0.277,-0.576,-0.393,0.702,0.939,-60.616752,Passed
2016-10-18 10:30:10,RH1090016,109,House,16,2005-02-02,,415,1,"Commending the Palestinian people for conducting a free and fair presidential election on January 9, 2005, and for other purposes",,,Foreign Policy Resolutions,,Foreign and Defense Policy,,,0.0,0.0,0.0,0.0,-191.998,0.536,0.0,Passed
2016-10-18 10:30:10,RH1090017,109,House,17,2005-02-02,,411,3,Expressing the strong concern of the House of Representatives that the European Union may end its embargo against the People’s Republic of China,Communists/Communism/Unamerican Activities,,Foreign Policy Resolutions,,Foreign and Defense Policy,,,0.0,0.0,0.0,0.0,-63.0,0.536,0.0,Passed
2016-10-18 10:30:10,RH1090018,109,House,18,2005-02-02,,404,9,"Relating to the free election in Iraq held on January 30, 2005",Iran,,Foreign Policy Resolutions,,Foreign and Defense Policy,,,0.0,0.0,0.0,0.0,-19.222,0.559,0.0,Passed
2016-10-18 10:30:10,RH1090019,109,House,19,2005-02-08,,414,0,Supporting the goals and ideals of National Mentoring Month,,,Government Organization,,Government Management,,,0.0,0.0,0.0,0.0,-18700000.0,0.548,0.0,Passed
2016-10-18 10:30:10,RH1090020,109,House,20,2005-02-08,,412,0,"To designate the United States courthouse at 300 North Hogan Street, Jacksonville, Florida, as the “John Milton Bryan Simpson United States Courthouse”",,,Government Organization,,Government Management,,,0.0,0.0,0.0,0.0,-18700000.0,0.546,0.0,Passed
2016-10-18 10:30:10,RH1090021,109,House,21,2005-02-08,,404,0,"To designate the Federal building and United States courthouse located at 200 West 2nd Street in Dayton, Ohio, as the “Tony Hall Federal Building and United States Courthouse”",,,Government Organization,,Government Management,,,0.0,0.0,0.0,0.0,-18400000.0,0.545,0.0,Passed
2016-10-18 10:30:10,RH1090022,109,House,22,2005-02-09,,228,191,"Providing for consideration of the bill (H.R. 418) to establish and rapidly implement regulations for State driver’s license and identification document security standards, to prevent terrorists from abusing the asylum laws of the United States, to unifyterrorism-related grounds for inadmissibility and removal, and ..",Immigration/Naturalization,,Defense Policy Resolutions,,Foreign and Defense Policy,56.88609009180654,1.0692661622033568,-0.024,-0.296,-0.718,0.073,0.995,0.998,-5.525858,Passed
2016-10-18 10:30:10,RH1090023,109,House,23,2005-02-09,,418,7,"Expressing the sense of the Congress that the Department of Defense should continue to exercise its statutory authority to support the activities of the Boy Scouts of America, in particular the periodic national and world Boy Scout Jamborees",,,Government Organization,,Government Management,,,0.0,0.0,0.0,0.0,-26.0,0.555,0.0,Passed
2016-10-18 10:30:10,RH1090024,109,House,24,2005-02-09,,423,0,"Honoring the Tuskegee Airmen for their bravery in fighting for our freedom in World War II, and for their contribution in creating an integrated United States Air Force",Civil Rights/Desegregation/Busing/Affirmative Action,,Government Organization,,Government Management,,,0.0,0.0,0.0,0.0,-19500000.0,0.539,0.0,Passed
2016-10-18 10:30:10,RH1090025,109,House,25,2005-02-09,,422,0,Supporting the goals and ideals of National Black HIV/AIDS Awareness Day,Civil Rights/Desegregation/Busing/Affirmative Action,,Domestic Social Policy,,Social Welfare,,,0.0,0.0,0.0,0.0,-19500000.0,0.538,0.0,Passed
2016-10-18 10:30:10,RH1090026,109,House,26,2005-02-10,,228,198,"Providing for further consideration of H.R. 418, REAL ID Act",Immigration/Naturalization,,Defense Policy Resolutions,,Foreign and Defense Policy,6.244570513799175,-0.07896223723135626,0.053,0.252,-0.691,0.64,1.0,1.0,-0.290685,Passed
2016-10-18 10:30:10,RH1090027,109,House,27,2005-02-10,,185,236,IMMIGRANTS AND DRIVERS LICENSES -- ASYLUM RULES,Immigration/Naturalization,,Defense Policy Resolutions,,Foreign and Defense Policy,-4.63473607596413,-0.23719250823022497,-0.161,0.509,0.238,0.297,0.876,0.945,-65.300097,Failed
2016-10-18 10:30:10,RH1090028,109,House,28,2005-02-10,,179,243,IMMIGRANTS AND DRIVERS LICENSES -- BORDER FENCE,Immigration/Naturalization,,Defense Policy Resolutions,,Foreign and Defense Policy,-3.851016820419775,-0.2903094650064737,-0.206,0.503,0.269,0.404,0.877,0.948,-57.771116,Failed
2016-10-18 10:30:10,RH1090029,109,House,29,2005-02-10,,195,229,REAL ID Act,Immigration/Naturalization,,Defense Policy Resolutions,,Foreign and Defense Policy,5.0539662083360515,0.3055994845006851,-0.252,-0.968,0.374,-0.428,0.979,0.991,-25.331255,Failed
2016-10-18 10:30:10,RH1090030,109,House,30,2005-02-10,CQ,262,161,REAL ID Act,Immigration/Naturalization,,Defense Policy Resolutions,,Foreign and Defense Policy,-3.7935986937852237,-0.6565851480496873,-0.346,0.656,-0.244,-0.372,0.845,0.941,-81.042591,Passed
2016-10-18 10:30:10,RH1090031,109,House,31,2005-02-15,,424,0,"Recognizing the contributions of Jibreel Khazan (Ezell Blair, Jr.), David Richmond, Joseph McNeil, and Franklin McCain, the “Greensboro Four”, to the civil rights movement",Civil Rights/Desegregation/Busing/Affirmative Action,,Government Organization,,Government Management,,,0.0,0.0,0.0,0.0,-19600000.0,0.538,0.0,Passed
2016-10-18 10:30:10,RH1090032,109,House,32,2005-02-15,,420,0,Arthur Stacey Mastrapa Post Office Building,,,Government Organization,,Government Management,,,0.0,0.0,0.0,0.0,-19200000.0,0.543,0.0,Passed
2016-10-18 10:30:10,RH1090033,109,House,33,2005-02-16,,230,198,"Providing for consideration of the bill (H.R. 310) to increase the penalties for violations by television and radio broadcasters of the prohibitions against the transmission of obscene, indecent, and profane material, and for other purposes",Radio/Television/Motion Pictures/Telecommunications,,Regulation Special Interest,,Government Management,7.080759278437475,0.19454633298812546,0.018,0.322,-0.333,0.272,0.995,0.998,-10.841101,Passed
2016-10-18 10:30:10,RH1090034,109,House,34,2005-02-16,,390,38,Broadcast Decency Enforcement Act,Radio/Television/Motion Pictures/Telecommunications,,Regulation Special Interest,,Government Management,-6.444675626397662,-3.7117949726507025,-0.555,-0.135,-0.273,-0.245,0.237,0.932,-67.827675,Passed
2016-10-18 10:30:10,RH1090035,109,House,35,2005-02-17,,178,247,CLASS ACTION LAWSUITS -- CONYERS SUBSTITUTE,Judiciary,,Regulation Special Interest,,Government Management,-47.77057466660392,-8.064227118656063,-0.169,0.009,1.082,0.131,0.904,0.96,-34.11515,Failed
