date_generated,id,congress,chamber,rollnumber,date,keyvote,question,description,yea,nay,Issue1,Issue2,Peltzman1,Peltzman2,Clausen1,mid.dim1,mid.dim2,spread.dim1,spread.dim2,pre,classified,log_likelihood,geo_mean_probability
2017-02-02 23:33:55,RH0430001,43,House,1,1873-12-01,,,ELEC. SPEAKER,264,3,Election of the Speaker of the House,,Internal Organization,,Miscellaneous Policy,0.0,0.0,0.0,0.0,,,0.0,
2017-02-02 23:33:55,RH0430002,43,House,2,1873-12-01,,,NAME OFFICERS OF HOUSE,86,178,,,Internal Organization,,Miscellaneous Policy,-0.067,-0.004,0.746,0.356,0.988,0.996,-2.89,0.989
2017-02-02 23:33:55,RH0430003,43,House,3,1873-12-01,,,DISPUTED ELEC. IND.,79,163,Disputed Elections to Congress,,Internal Organization,,Miscellaneous Policy,-0.102,0.12,0.229,0.069,0.911,0.971,-32.291,0.875
2017-02-02 23:33:55,RH0430004,43,House,4,1873-12-01,,,DISPUTED ELEC. IND.,176,69,Disputed Elections to Congress,,Internal Organization,,Miscellaneous Policy,-0.128,-0.545,-0.265,-0.225,0.754,0.931,-35.599,0.865
2017-02-02 23:33:55,RH0430005,43,House,5,1873-12-02,,,DISPUTED ELEC. IND.,166,99,Disputed Elections to Congress,,Internal Organization,,Miscellaneous Policy,0.101,-0.185,-0.394,-0.309,0.899,0.962,-27.123,0.903
2017-02-02 23:33:55,RH0430006,43,House,6,1873-12-03,,,DISPUTED ELEC. LA.,160,95,Disputed Elections to Congress,,Internal Organization,,Miscellaneous Policy,0.047,0.01,-0.352,-0.233,0.916,0.969,-23.171,0.913
2017-02-02 23:33:55,RH0430007,43,House,7,1873-12-08,,,CIVIL RIGHTS BILL (ADJOURN),106,144,Civil Rights/Desegregation/Busing/Affirmative Action,,Domestic Social Policy,,Civil Liberties,0.091,0.041,0.196,0.065,0.745,0.892,-71.094,0.752
2017-02-02 23:33:55,RH0430008,43,House,8,1873-12-12,,,COURT MARTIAL GEN. O.O. HOWARD,173,89,Impeachments and Investigations,,Defense Policy Resolutions,,Foreign and Defense Policy,-0.006,-0.744,-0.295,0.013,0.91,0.969,-27.088,0.902
2017-02-02 23:33:55,RH0430009,43,House,9,1873-12-15,,,HOW LONG TO ADJOURN,145,114,,,Internal Organization,,Miscellaneous Policy,0.546,-0.227,0.012,-0.118,0.018,0.568,-175.057,0.509
2017-02-02 23:33:55,RH0430010,43,House,10,1873-12-15,,,INCREASE TAXES (ADJOURN),119,114,Tax rates,,Budget General Interest,,Government Management,-0.322,-0.097,-0.005,0.189,0.132,0.575,-156.016,0.512
2017-02-02 23:33:55,RH0430011,43,House,11,1873-12-16,,,REPEAL UNIFORM BANKRUPTCY LAW,221,44,,,Domestic Social Policy,,Civil Liberties,0.451,0.892,0.061,0.187,0.0,0.834,-118.107,0.64
2017-02-02 23:33:55,RH0430012,43,House,12,1873-12-16,,,ADJOURN,77,184,,,Internal Organization,,Miscellaneous Policy,-0.021,0.281,0.006,-0.4,0.169,0.755,-132.533,0.602
2017-02-02 23:33:55,RH0430013,43,House,13,1873-12-16,,,DEDUCTING BACK PAY,121,130,Congressional Pay and Benefits,,Internal Organization,Budget Special Interest,Government Management,0.782,-0.209,-0.016,-0.455,0.207,0.618,-149.569,0.551
2017-02-02 23:33:55,RH0430014,43,House,14,1873-12-16,,,CONG. SALARIES (ADJOURN),113,137,Congressional Pay and Benefits,,Internal Organization,Budget Special Interest,Government Management,0.881,0.067,0.014,-0.531,0.274,0.672,-147.466,0.554
2017-02-02 23:33:55,RH0430015,43,House,15,1873-12-16,,,HOW TO PAY CONGMN.,172,76,Congressional Pay and Benefits,,Internal Organization,Budget Special Interest,Government Management,-0.173,0.273,0.004,0.393,0.132,0.734,-133.309,0.584
2017-02-02 23:33:55,RH0430016,43,House,16,1873-12-17,,,REPEAL INC. CERT. SALARIES,168,94,Congressional Pay and Benefits,,Internal Organization,Budget Special Interest,Government Management,0.055,0.151,0.003,0.399,0.202,0.714,-141.883,0.582
2017-02-02 23:33:55,RH0430017,43,House,17,1873-12-17,,,INCREASE SALARY PRES'S CABINET,75,192,,,Budget Special Interest,,Government Management,-0.148,0.944,-0.059,-0.262,0.067,0.738,-139.686,0.593
