date_generated,id,congress,chamber,rollnumber,date,keyvote,yea,nay,description,Issue1,Issue2,Peltzman1,Peltzman2,Clausen1,slope,intercept,mid.dim1,mid.dim2,spread.dim1,spread.dim2,pre,classified,log_likelihood,vote_result
2016-10-18 10:30:10,RH1070001,107,House,1,2001-01-03,,222,206,DENNIS HASTERT ELECTED SPEAKER OF THE HOUSE,Election of the Speaker of the House,,Internal Organization,,Miscellaneous Policy,3.969900966975794,0.12921742514137063,-0.026,0.026,-0.661,0.963,0.995,0.998,-2.292832,Hastert
2016-10-18 10:30:10,RH1070002,107,House,2,2001-01-03,,199,213,Adopting Rules for the One Hundred Seventh Congress,,,Internal Organization,,Miscellaneous Policy,3.6613961558896033,0.2669433155358306,-0.074,-0.004,0.609,-0.962,0.99,0.995,-7.174103,Failed
2016-10-18 10:30:10,RH1070003,107,House,3,2001-01-03,,215,206,Adopting Rules for the One Hundred Seventh Congress,,,Internal Organization,,Miscellaneous Policy,3.9797691847405785,0.1295346912490333,-0.023,0.038,-0.642,0.933,0.995,0.998,-2.28445,Passed
2016-10-18 10:30:10,RH1070004,107,House,4,2001-01-30,,401,0,Federal Firefighters Retirement Age Fairness Act,,,Government Organization,,Government Management,,,0.0,0.0,0.0,0.0,-19400000.0,0.516,0.0,Passed
2016-10-18 10:30:10,RH1070005,107,House,5,2001-01-31,,407,0,Permitting the Use of the Rotunda of the Capitol for a Ceremony as part of the Commemoration of the Days of Remembrance of Victims of the Holocaust,,,Foreign Policy Resolutions,,Foreign and Defense Policy,,,0.0,0.0,0.0,0.0,-19600000.0,0.518,0.0,Passed
2016-10-18 10:30:10,RH1070006,107,House,6,2001-01-31,,406,1,Expressing Sympathy for the Victims of the Devastating Earthquake that Struck India,,,Foreign Policy Resolutions,,Foreign and Defense Policy,,,0.0,0.0,0.0,0.0,-195.998,0.516,0.0,Passed
2016-10-18 10:30:10,RH1070007,107,House,7,2001-01-31,,382,19,APPROVE JOURNAL,,,Internal Organization,,Miscellaneous Policy,3.7618799391469704,2.5255551200195594,-0.657,0.054,-0.227,0.349,-0.053,0.95,-60.50787,Passed
2016-10-18 10:30:10,RH1070008,107,House,8,2001-02-06,,410,0,Recognizing the 90th birthday of Ronald Reagan,,,Government Organization,,Government Management,,,0.0,0.0,0.0,0.0,-19900000.0,0.515,0.0,Passed
2016-10-18 10:30:10,RH1070009,107,House,9,2001-02-06,,412,0,Honoring the contributions of Catholic schools,Education,,Domestic Social Policy,,Social Welfare,,,0.0,0.0,0.0,0.0,-20400000.0,0.505,0.0,Passed
2016-10-18 10:30:10,RH1070010,107,House,10,2001-02-07,,413,0,"To designate the Goro Hokama Post Office Building in Lanai City, Hawaii",,,Budget Special Interest,,Government Management,,,0.0,0.0,0.0,0.0,-20300000.0,0.508,0.0,Passed
2016-10-18 10:30:10,RH1070011,107,House,11,2001-02-13,,410,1,"Congratulating the Prime Minister-elect of Israel, Airel Sharon, calling for an end to violence in the Middle East, reaffirming the friendship between the Governments of the United States and Israel",,,Foreign Policy Resolutions,,Foreign and Defense Policy,,,0.0,0.0,0.0,0.0,-197.998,0.516,0.0,Passed
2016-10-18 10:30:10,RH1070012,107,House,12,2001-02-13,,407,2,Social Security and Medicare Lock-Box Act,Social Security,,Budget Special Interest,Domestic Social Policy,Government Management,,,0.0,0.0,0.0,0.0,-96.0,0.526,0.0,Passed
