id,congress,chamber,rollnumber,date,keyvote,yea,nay,description,Issue1,Issue2,Peltzman1,Peltzman2,Clausen1,slope,intercept,mid.dim1,mid.dim2,spread.dim1,spread.dim2
RS0920001,92,Senate,1,1971-02-10,,80,0,"TO ADOPT RESOLUTION OF RATIFICATION RESPECTING TREATY OF COOPERATION BETWEEN THE UNITED STATES AND MEXICO PROVIDING FOR THE RECOVERY AND RETURN OF STOLEN ARCHEOLOGICAL, HISTORICAL, AND CULTURAL PROPERTIES.  (EX. K, 91ST CONG., SECOND SESSION.)",Treaties,Central America,Foreign Policy Resolutions,,Foreign and Defense Policy,,,0.0,0.0,0.0,0.0
RS0920002,92,Senate,2,1971-02-17,,76,5,"TO ADOPT RESOLUTION OF RATIFICATION OF THE CONVENTION OF THE CONVENTION WITH NICARAGUA TERMINATING THE BRYAN-CHAMORRO TREATY OF 1914.  (EX. L, 91ST CONG., SECOND SESSION.)",Treaties,Central America,Foreign Policy Resolutions,,Foreign and Defense Policy,-2.805019592232061,1.2799170179999022,0.103,0.991,0.42,0.866
RS0920003,92,Senate,3,1971-02-17,,82,0,"TO ADOPT RESOLUTION OF RATIFICATION OF THE EXTRADITION TREATY WITH SPAIN.  (EX. N, 91ST CONG., SECOND SESSION.)",,Treaties,Foreign Policy Budget,Domestic Social Policy,Foreign and Defense Policy,,,0.0,0.0,0.0,0.0
RS0920004,92,Senate,4,1971-02-18,,57,43,"TO CLOSE DEBATE ON S. RES. 9, TO AMEND SENATE RULE XXII SO THAT SENATE DEBATE MAY BE BROUGHT TO A CLOSE BY A VOTE OF THREE-FIFTHS OF THE SENATORS (RATHER THAN TWO-THIRDS AS UNDER THE PRESENT RULE.)",,,Internal Organization,,Miscellaneous Policy,-1.8082475748719793,-0.032742281738478124,-0.09,0.13,0.267,0.854
RS0920005,92,Senate,5,1971-02-23,,58,42,TO CLOSE DEBATE ON THE MOTION TO CONSIDER S. RES. 9.,,,Internal Organization,,Miscellaneous Policy,-1.7213343019224523,-0.012380130759531066,-0.135,0.22,0.25,0.84
RS0920006,92,Senate,6,1971-03-01,,21,52,"TO AMEND S. RES. 35 SO AS TO PROVIDE ADDITIONAL FUNDS FOR THE COMMITTEE ON LABOR AND PUBLIC WELFARE IN THE AMOUNT OF $1,172,375, RATHER THAN $1,540,000 AS PROVIDED BY THE COMMITTEE.",Unemployment/Jobs,Welfare,Budget Special Interest,,Social Welfare,-2.407763334462008,0.395658377227618,0.497,-0.801,-0.286,-0.687
RS0920007,92,Senate,7,1971-03-01,,56,18,TO PASS A RESOLUTION PROVIDING FUNDS FOR EXPENSES OF THE SELECT COMMITTEE ON NUTRITION AND HUMAN NEEDS.,,Food Stamps/Food Programs,Budget Special Interest,,Social Welfare,-2.721085264479012,0.5539176729209035,0.219,-0.042,0.494,1.05
RS0920008,92,Senate,8,1971-03-02,,59,41,TO INVOKE CLOTURE (CLOSE DEBATE) ON THE MOTION TO CONSIDER E. RES. 9.,,,Internal Organization,,Miscellaneous Policy,-1.8794548599080927,0.04226310065715087,0.031,-0.016,0.194,0.597
RS0920009,92,Senate,9,1971-03-09,,58,42,TO INVOKE CLOTURE ON THE MOTION TO CONSIDER S. RES. 9.,,,Internal Organization,,Miscellaneous Policy,-1.7213343019224523,-0.012380130759531066,-0.135,0.22,0.25,0.84
RS0920010,92,Senate,10,1971-03-09,,57,38,TO SUSTAIN THE RULING OF THE CHAIR THAT DEBATE IS NOT CLOSED UNDER SENATE RULE XXII.,,,Internal Organization,,Miscellaneous Policy,-2.3895029408095336,-0.40435084995633447,-0.119,-0.12,-0.352,-0.852
RS0920011,92,Senate,11,1971-03-10,,71,24,"TO TABLE KENNEDY (D, MASS.) AMENDMENT PROVIDING REPRESENTA- TION OF THE DISTRICT OF COLUMBIA IN THE SENATE AND HOUSE, TO S.J. RES. 7, A BILL PROPOSING A CONSTITUTIONAL AMENDMENT EXTENDING THE RIGHT TO VOTE TO EIGHTEEN-YEAR-OLDS.",Constitutional Amendments,Voting Rights,Government Organization,Domestic Social Policy,Government Management,-3.5263385243434135,-1.07395682612686,-0.416,0.393,-0.289,-0.474
RS0920012,92,Senate,12,1971-03-10,,100,0,TO PASS S.J. RES. 7.,Constitutional Amendments,Voting Rights,Government Organization,Domestic Social Policy,Government Management,,,0.0,0.0,0.0,0.0
